1参数位置和名称,2分类1,3分类2,4参数中文名称,5参数释义,6功能分类1,7功能分类2,8功能说明
/strategy/rcc/hide_timer_schedule_task,,,掌上高仙隐藏排班任务功能开关,改成false 就无法创建 定时任务（定时几点开始，几点结束的），创建任务时不显示定时任务类型；,APP,隐藏排班任务功能开关,
/strategy/checker/less_warning,,,屏蔽不影响任务的告警；（机器人端与掌上高仙）,打开：会在机器端和掌上高仙屏蔽掉不影响任务的告警，只在云平台显示,APP,屏蔽不影响任务的告警,参数打开后：机器人端与掌上高仙 就看不到不影响任务的告警了；
/strategy/console/minimalist_mode,,,极简模式功能开关,,APP,极简模式,
/strategy/console/login_fail_lock_time,,,登录密码输入错误锁屏时间,,APP,多次输错密码锁屏,
/strategy/console/app_language,,,APP语言配置,,APP,APP语言设置,
/strategy/console/lock_time,,,APP无操作自动锁屏的时间阈值,APP无操作自动锁屏的时间阈值,APP,APP无操作自动锁屏的时间阈值,https://gaussian.yuque.com/od6ghz/no74yv/viutgo?singleDoc# 《S线-小屏登录锁屏》
/strategy/console/hide_product_information,,,不用了,,APP,app界面lora定制,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9
/strategy/camera_detect_tanwei_enable,,,50 展台上车辆检测功能,,DL-感知,展台车辆检测,
/strategy/dl_infer/residual_water_detection,,,是否开启余水检测,,DL-感知,余水检测,
/dirty_config/other/pole_pillar,,,一米栏/带检测功能,1:打开；2:关闭,DL-感知,一米栏/带检测功能,
/dirty_config/model/open_sewage_detect,,,巡检： - 模型开关,巡检： - 模型开关：/dirty_config/model/open_sewage_detect - 清洁模式（dirty_config）：0清扫 1避障 2忽略，,DL-感知,巡检： - 模型开关,功能说明：https://gaussian.yuque.com/od6ghz/ntcv8q/aleqkh?singleDoc# 《AGILE-30 50智能巡检清洁 P0功能》
/strategy/yml_detect/init,SLAM,,一米栏检测功能开关,在没有一米栏的场景可以关闭,DL-感知,物体识别-一米栏,
/strategy/small_obj_detect/init,SLAM,small_obj_detect,细杆识别功能开关,下面的墙线、大小物体语义、细杆检测的总开关,DL-感知,物体识别-细杆,
/strategy/small_obj_detect/launch_lidar_small_object_detector,,,细杆识别功能开关,,DL-感知,物体识别-细杆,
/strategy/fence_detect/init,SLAM,,物理围栏检测功能开关,75暂无此功能,DL-感知,物体识别-物理围栏,
/strategy/small_obj_detect/launch_line_segment,SLAM,small_obj_detect,贴边（墙线识别),是否打开墙线提取，75不需要该功能,DL-感知,物体识别-墙线,
/dirty_config/stain/dust,,,NUll,,DL-感知,物体识别,
/dirty_config/stain/mixed_garbage,,,NUll,,DL-感知,物体识别,
/dirty_config/stain/mixed_garbage_temp,,,NUll,,DL-感知,物体识别,
/dirty_config/stain/sewage,,,NUll,,DL-感知,物体识别,
/strategy/small_obj_detect/launch_big_small_object_inflation,,,大小物体语义,,DL-感知,物体识别,
/strategy/stair_detect/is_enable,,,NUll,,DL-感知,物体识别,
/strategy/data_feedback_light/enable_feedback,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_garbage_detection,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_leakwarning,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_pedestrain_vehicle_detection,,,75 行人 车辆检测功能 数据回流功能开关,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/pedestrain_vehicle_detection,,,75 行人 车辆检测功能开关,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/gs_data_feedback/dl_hodgepodge/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/gs_data_feedback/dl/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/gs_data_feedback/perc_anti_drop/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/gs_data_feedback/perc_fnl/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/gs_data_feedback/perc_ir_sticker/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
