﻿﻿Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,﻿﻿﻿分类_en,功能_en,功能说明_en,参数名称_en,参数释义_en,参数类型_en,"默认
值_en","下
限_en","上
限_en",默认值_en
/strategy/rcc/hide_timer_schedule_task,,,Gaoxian hidden scheduling task function switch on the palm,"If you change to false, you cannot create a timed task (when is the time start and end at what time), and the timed task type is not displayed when creating a task;",APP,Hide scheduling task function switch,,,,,APP,Hide scheduling task function switch,,Gaoxian hidden scheduling task function switch on the palm,"If you change to false, you cannot create a timed task (when is the time start and end at what time), and the timed task type is not displayed when creating a task;",bool,TRUE,,,
/strategy/checker/less_warning,,,Block alarms that do not affect the task; (Robot end and high immortal on the palm),Open: The alarms that will not affect the task will be blocked on the machine and the palm of your hand will be displayed only on the cloud platform.,APP,Block alarms that do not affect tasks,After the parameters are turned on: the robot end and the high immortal on the palm will not see the alarm that does not affect the task;,,,,APP,Block alarms that do not affect tasks,After the parameters are turned on: the robot end and the high immortal on the palm will not see the alarm that does not affect the task;,Block alarms that do not affect the task; (Robot end and high immortal on the palm),Open: The alarms that will not affect the task will be blocked on the machine and the palm of your hand will be displayed only on the cloud platform.,bool,TRUE,,,
/strategy/console/login_fail_lock_time,,,Login password entry error lock screen time,,APP,Lock screen with error password multiple times,,,,,APP,Lock screen with error password multiple times,,Login password entry error lock screen time,,double,30,1,30,
/strategy/console/app_language,,,APP language configuration,,APP,APP language settings,,,,,APP,APP language settings,,APP language configuration,,string,"""en""",,,
/strategy/console/hide_product_information,,,不用了,,APP,App interface lora customization,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9,,,,APP,App interface lora customization,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9,不用了,,bool,FALSE,,,
/strategy/camera_detect_tanwei_enable,,,50 Vehicle detection function on the booth,,DL-Sensory,Booth vehicle inspection,,,,,DL-Sensory,Booth vehicle inspection,,50 Vehicle detection function on the booth,,bool,FALSE,,,
/dirty_config/other/pole_pillar,,,One-meter rail/with detection function,1:Open; 2:Close,DL-Sensory,One-meter rail/with detection function,,,,,DL-Sensory,One-meter rail/with detection function,,One-meter rail/with detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/model/open_sewage_detect,,,Inspection: - Model switch,"Inspection: - Model switch: /dirty_config/model/open_sewage_detect - Cleaning mode (dirty_config): 0 Cleaning 1 Obstacle avoidance 2 Ignore,",DL-Sensory,Inspection: - Model switch,"Function description: https://gaussian.yuque.com/od6ghz/ntcv8q/aleqkh?singleDoc# ""AGILE-30 50 Intelligent Patrol Cleaning P0 Function""",,,,DL-Sensory,Inspection: - Model switch,"Function description: https://gaussian.yuque.com/od6ghz/ntcv8q/aleqkh?singleDoc# ""AGILE-30 50 Intelligent Patrol Cleaning P0 Function""",Inspection: - Model switch,"Inspection: - Model switch: /dirty_config/model/open_sewage_detect - Cleaning mode (dirty_config): 0 Cleaning 1 Obstacle avoidance 2 Ignore,",bool,TRUE,,,
/strategy/small_obj_detect/launch_lidar_small_object_detector,,,Thin rod recognition function switch,,DL-Sensory,Object recognition - thin rod,,,,,DL-Sensory,Object recognition - thin rod,,Thin rod recognition function switch,,bool,TRUE,,,
/strategy/small_obj_detect/launch_line_segment,SLAM,small_obj_detect,Edge (wall line identification),"Whether to open the wall line extraction, 75 does not need this function",DL-Sensory,Object recognition-wall line,,,,,DL-Sensory,Object recognition-wall line,,Edge (wall line identification),"Whether to open the wall line extraction, 75 does not need this function",bool,TRUE,,,
/dirty_config/stain/dust,,,NUll,,DL-Sensory,Object recognition,,,,,DL-Sensory,Object recognition,,NUll,,int,1,1,2,
/dirty_config/stain/mixed_garbage,,,NUll,,DL-Sensory,Object recognition,,,,,DL-Sensory,Object recognition,,NUll,,int,1,1,2,
/dirty_config/stain/mixed_garbage_temp,,,NUll,,DL-Sensory,Object recognition,,,,,DL-Sensory,Object recognition,,NUll,,int,1,1,2,
/dirty_config/stain/sewage,,,NUll,,DL-Sensory,Object recognition,,,,,DL-Sensory,Object recognition,,NUll,,int,1,1,2,
/strategy/stair_detect/is_enable,,,NUll,,DL-Sensory,Object recognition,,,,,DL-Sensory,Object recognition,,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/dl_hodgepodge/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/dl/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/perc_anti_drop/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/perc_fnl/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,,,,
/strategy/gs_data_feedback/perc_ir_sticker/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/slam_data/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/hodgepodge/event_tracking/enable,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/hodgepodge/event_tracking/enable_general_objects,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/hodgepodge/event_tracking/enable_warning_trigger,,,NUll,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable,,,NUll,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_freespace_endpoint,,,NUll,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_garbage_sewage,,,Stain dirty - Data reflow switch (on if necessary),,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,Stain dirty - Data reflow switch (on if necessary),,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_ground_objects_seg,,,NUll,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_xyf_detect,,,NUll,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,,,,DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,NUll,,bool,TRUE,,,
/strategy/camera_subscribe_imu,,,NUll,,DL-Sensory,Tilt Detection (IMU),,,,,DL-Sensory,Tilt Detection (IMU),,NUll,,bool,TRUE,,,
/strategy/dl_infer/open_freespace_endpoint,,,Passable area model,,DL-Sensory,Model switch,,,,,DL-Sensory,Model switch,,Passable area model,,bool,TRUE,,,
/strategy/dl_infer/open_garbage_sewage_task,,,NUll,,DL-Sensory,Model switch,,,,,DL-Sensory,Model switch,,NUll,,bool,FALSE,,,
