﻿﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,参数类型,"下
限","上
限","默认
值","参数
单位",备注
APP,App interface lora customization,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9,/strategy/console/hide_product_information,不用了,,bool,,,FALSE,,
APP,APP language settings,,/strategy/console/app_language,APP language configuration,,string,,,"""en""",,
APP,Lock screen with error password multiple times,,/strategy/console/login_fail_lock_time,Login password entry error lock screen time,,double,1,30,30,,
APP,Block alarms that do not affect tasks,After the parameters are turned on: the robot end and the high immortal on the palm will not see the alarm that does not affect the task;,/strategy/checker/less_warning,Block alarms that do not affect the task; (Robot end and high immortal on the palm),Open: The alarms that will not affect the task will be blocked on the machine and the palm of your hand will be displayed only on the cloud platform.,bool,,,TRUE,,
APP,Hide scheduling task function switch,,/strategy/rcc/hide_timer_schedule_task,Gaoxian hidden scheduling task function switch on the palm,"If you change to false, you cannot create a timed task (when is the time start and end at what time), and the timed task type is not displayed when creating a task;",bool,,,TRUE,,
DL-Sensory,,,/strategy/laser_stain/init,Open semantic detection function of small and small objects,,bool,,,TRUE,,
DL-Sensory,Ground segmentation-escalator pedal detection function,,/dirty_config/other/escalator_pedal,Ground segmentation-escalator pedal detection function,1:Open; 2:Close,int,1,2,1,,
DL-Sensory,Infrared sticker recognition,,/strategy/ir_sticker_enable,Infrared sticker detection function switch,,bool,,,TRUE,,
DL-Sensory,Infrared sticker recognition (seven o'clock),,/strategy/hexagon_sticker_detect_enable,Seven-point infrared sticker recognition switch,,bool,,,TRUE,,
DL-Sensory,Infrared sticker recognition (four points),,/strategy/four_point_sticker_detect_enable,Four-point red sticker identification switch,,bool,,,TRUE,,
DL-Sensory,Passable edge-fall zone detection function,,/dirty_config/other/fallarea_edge,Passable edge-fall zone detection function,1:Open; 2:Close,int,1,2,1,,
DL-Sensory,Passable edge-escalator metal edge detection function,,/dirty_config/other/escalator_edge,Passable edge-escalator metal edge detection function,1:Open; 2:Close,int,1,2,1,,
DL-Sensory,Model switch,,/strategy/dl_infer/open_freespace_endpoint,Passable area model,,bool,,,TRUE,,
DL-Sensory,Model switch,,/strategy/dl_infer/open_ground_objects_seg,Ground object model,,bool,,,TRUE,,
DL-Sensory,Model switch,,/strategy/dl_infer/open_xyf_detect,xfy model,,bool,,,TRUE,,
DL-Sensory,Tilt Detection (IMU),,/strategy/camera_subscribe_imu,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_freespace_endpoint,NUll,,bool,,,TRUE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_ground_objects_seg,NUll,,bool,,,FALSE,,
DL-Sensory,Deep Learning Data Reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_xyf_detect,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/dl_hodgepodge/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/dl/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/perc_anti_drop/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/perc_ir_sticker/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/slam_data/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/hodgepodge/event_tracking/enable,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/hodgepodge/event_tracking/enable_general_objects,NUll,,bool,,,TRUE,,
DL-Sensory,Data reflow,Function description: https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/hodgepodge/event_tracking/enable_warning_trigger,NUll,,bool,,,TRUE,,
DL-Sensory,Object recognition,,/strategy/stair_detect/is_enable,NUll,,bool,,,TRUE,,
DL-Sensory,Object recognition-wall line,,/strategy/small_obj_detect/launch_line_segment,Edge (wall line identification),"Whether to open the wall line extraction, 75 does not need this function",bool,,,TRUE,,
DL-Sensory,Object recognition - thin rod,,/strategy/small_obj_detect/launch_lidar_small_object_detector,Thin rod recognition function switch,,bool,,,TRUE,,
DL-Sensory,Object recognition-one-meter column,,/strategy/yml_detect/init,One-meter bar detection function switch,In scenarios without a meter bar can be closed,bool,,,TRUE,,
NUll,,,/device/mcu/cancel_ttl_485,NUll,,bool,,,TRUE,,
NUll,,,/device/network/ping_hosts,NUll,,string,,,"""8.8.8.8,114.114.114.114""",,
NUll,,,/device/network/wifi_search_ap_list_slam_http_interval,NUll,,int,,,20,,
NUll,,,/device/network/wifi_search_ap_list_slam_interval,NUll,,int,1,1000,20,,
NUll,,,/device/network/wifi_search_ap_list_slam_interval,NUll,,int,,,20,,
NUll,,,/device/scrubber/delay_lift_squeegee_without_water,NUll,,bool,,,FALSE,,
NUll,,,/device/scrubber/dust_detect_sensor_error_voltage_threshold,NUll,,int,,,5,,
NUll,,,/device/scrubber/dust_full_distance,NUll,,int,,,40,,
NUll,,,/device/scrubber/enable_auto_replace_brush,NUll,,bool,,,TRUE,,
NUll,,,/device/scrubber/motor_work_min_speed,Minimum speed for triggering the operation of the equipment motor,,double,0,100,0.01,,
NUll,,,/device/scrubber/right_side_brush_reverse,NUll,,bool,,,TRUE,,
NUll,,,/feature/software/aio_active_clean_switch_enable,Active cleaning function switch,"Active cleaning is a relative task configuration item, indicating whether I will actively avoid the dirt and garbage I see when I work normally.",bool,,,FALSE,,
NUll,,,/feature/software/enable_strongwash_workmode,NUll,,bool,,,FALSE,,
NUll,,,/feature/software/enabled_battery_cell_undervoltage,NUll,,bool,,,TRUE,,
NUll,,,/sensor/lidar/lidar2d_max_dist,NUll,,int,,,25,,
NUll,,,/strategy/chassis/imu/overturn_pitch_alarm_threshold,NUll,,double,,,45,,
NUll,,,/strategy/chassis/imu/overturn_roll_alarm_threshold,NUll,,double,,,45,,
NUll,,,/strategy/chassis/quick_switch_manual_mode_timeout,NUll,,double,1,10,2,,
NUll,,,/strategy/chassis/speed_v/remote_level,未使用,,int,0,255,100,,
NUll,,,/strategy/chassis/sum_angular_diff,Threshold (angle) for the accumulation of high-speed speed difference,0,double,,,7,,
NUll,,,/strategy/chassis/sum_vel_diff,Threshold of the accumulation of high-speed speed difference (speed),0,double,,,3.6,,
NUll,,,/strategy/chassis/wheel_motor_monitor/enable_zero_drift_detection,NUll,,bool,,,FALSE,,
NUll,,,/strategy/checker/detail_update_interval,NUll,,int,60,1440,1440,,
NUll,,,/strategy/checker/update_complete,NUll,,bool,,,TRUE,,
NUll,,,/strategy/checker/update_enable,NUll,,bool,,,TRUE,,
NUll,,,/strategy/checker/update_startup_delay,NUll,,int,3,10,10,,
NUll,,,/strategy/console/default_active_clean_switch_val,NUll,,bool,,,FALSE,,
NUll,,,/strategy/console/enable_device_limits,Pre-task equipment in-position detection function switch,,bool,,,FALSE,,
NUll,,,/strategy/console/enable_draw_inaccessible_area,NUll,,bool,,,TRUE,,
NUll,,,/strategy/console/gohome1_idle_cd,NUll,,int,1,99999,10,,
NUll,,,/strategy/console/gohome1_idle_cd_before,NUll,,int,0,99999,1490,,
NUll,,,/strategy/console/gohome1_stop_temp_task_cd,NUll,,int,1,99999,28800,,
NUll,,,/strategy/console/gohome1_stop_temp_task_cd_before,NUll,,int,0,99999,0,,
NUll,,,/strategy/console/gohome1_task_finish_cd,NUll,,int,1,99999,10,,
NUll,,,/strategy/console/gohome1_task_finish_cd_before,NUll,,int,0,99999,10790,,
NUll,,,/strategy/console/land_mark_check,NUll,,bool,,,FALSE,,
NUll,,,/strategy/console/maintain_mode/leave_duration,NUll,,int,0,86400,1800,,
NUll,,,/strategy/console/maintain_mode/notify_leave_duration,NUll,,int,0,3600,300,,
NUll,,,/strategy/console/privacy_switcher,NUll,,bool,,,FALSE,,
NUll,,,/strategy/console/sewage_wait_time,Waiting time for sewage,,int,0,3600,10,,
NUll,,,/strategy/console/similar_point_detect,不用了,,bool,,,TRUE,,
NUll,,,/strategy/console/slam_floor_recognition_time,NUll,,double,,,8,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_detergent_wait_time,Waiting time,,int,,,180,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_foam_num,Number of foam absorption,,int,,,0,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_scrub_num,Number of floor rubs,,int,,,1,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_speed_level,速度,,int,,,1,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_spray,Number of sprays,,int,,,1,,
NUll,Equipment Control-Cleaner Pump,Heavy oil removal,/strategy/console/strong_wash_args_wash_num,Number of cleaning times,,int,,,1,,
NUll,,,/strategy/console/supported_task_version,NUll,,int,0,3,1,,
NUll,,,/strategy/console/user_volume,NUll,,int,0,100,19,,
NUll,,,/strategy/console/warning_gosupply_on,NUll,,bool,,,TRUE,,
NUll,,,/strategy/depth_camera_occlusion_detect_enable,NUll,,bool,,,FALSE,,
NUll,Sensor-camera,,/strategy/depth_camera_occlusion_triggered_time_thresh,"After issuing a 20832/20833 alarm, it will take at least X minutes before the next alarm will be issued",,int,,,60,,
NUll,,,/strategy/depth_estimate_fusion_ghost_enable,Model switch Shadow mode switch,,bool,,,TRUE,,
NUll,,,/strategy/dl_infer/data_feedback/enable_vpr,NUll,,bool,,,FALSE,,
NUll,,,/strategy/dl_infer/open_depth_estimation,Model switch,,bool,,,TRUE,,
NUll,,,/strategy/dl_infer/open_keypoint,NUll,,bool,,,,,
NUll,,,/strategy/dl_infer/open_vpr,NUll,,bool,,,TRUE,,
NUll,,,/strategy/elevator_base/ordering_min_dis,NUll,,double,,,1.5,,
NUll,,,/strategy/fov_realtime_auto_cover/draining_time,NUll,,double,,,120,,
NUll,,,/strategy/fov_realtime_auto_cover/enable_abandon_area_sewage,NUll,,bool,,,FALSE,,
NUll,,,/strategy/fov_realtime_auto_cover/enable_full_safe_check,NUll,,bool,,,TRUE,,
NUll,DL-Sensory,Deep Learning Data Reflow,/strategy/gs_data_feedback/camera_cover_detect/enable,NUll,,bool,,,TRUE,,
NUll,DL-Sensory,Deep Learning Data Reflow,/strategy/gs_data_feedback/camera_interference_detect/enable,NUll,,bool,,,TRUE,,
NUll,DL-Sensory,Deep Learning Data Reflow,/strategy/gs_data_feedback/dl_depth_fusion/enable,NUll,,bool,,,TRUE,,
NUll,,,/strategy/gs_work_station/delay_recovery_clean_water_empty_warn_sec,NUll,,int,1,99,10,,
NUll,,,/strategy/localization/P85,NUll,,double,0,-200,-100,,
NUll,,,/strategy/localization/P86,NUll,,int,0,10,3,,
NUll,,,/strategy/localization/P96,NUll,,double,0,1,0.75,,
NUll,,,/strategy/move_base/min_turn_radius,NUll,,double,0.15,0.5,0.15,,
NUll,,,/strategy/orbbec3/anti_drop_image_boundary_deficiency_detect,NUll,,bool,,,,,
NUll,,,/strategy/pnc/realtime_autocover/main_angle_belief_ratio,NUll,,double,0,1,0.4,,
NUll,,,/strategy/pnc/realtime_autocover/main_angle_samples_ratio,NUll,,double,0,1,0.3,,
NUll,,,/strategy/pnc/realtime_autocover/never_give_up_time,NUll,,double,,,7200,,
NUll,,,/strategy/pnc/realtime_autocover/use_arcuate_autocover,NUll,,bool,,,TRUE,,
NUll,,,/strategy/pnc/realtime_autocover/use_never_give_up,NUll,,bool,,,FALSE,,
NUll,,,/strategy/project_node/endpoint_thresh,NUll,,double,0,10,2.5,,
NUll,,,/strategy/project_node/gate_area_ignore_flag,NUll,,bool,,,FALSE,,
NUll,,,/strategy/project_node/gate_area_thresh,NUll,,double,0,10,5.5,,
NUll,,,/strategy/rcc/daily_clean_tick_seconds,NUll,,int,,,7200,,
NUll,,,/strategy/realtime_auto_cover/min_left_len,NUll,,double,,,,,
NUll,,,/strategy/scan_filters/large_area_cover_enable,NUll,,bool,,,FALSE,,
NUll,,,/strategy/scan_filters/large_area_cover_triggered_time_thresh,NUll,,double,0,3600,60,,
NUll,,,/wireless_localization/wireless_search/enable,NUll,,bool,,,TRUE,,
PNC motion control,PNC Others,https://gaussian.yuque.com/pnc/yu7uqr/zcgg5g?singleDoc# 《导航参数配置说明》https://gaussian.yuque.com/pnc/yu7uqr/wmu4i2?singleDoc# 《导航参数配置说明V2》,/strategy/follow_base/force_perform_action,The program is not called; clean it when the navigation starts (not reaching the starting point of the path).,,bool,,,FALSE,,
PNC motion control,PNC Others,,/strategy/follow_base/front_safe_check_dis,The program is not called; the distance is checked in front of the path,,double,,,1,,
PNC motion control,PNC Others,,/strategy/follow_base/perform_action,The program is not called; the action on the path is executed,The old parameter of move_base_controller is not actually used,bool,,,FALSE,,
PNC motion control,PNC Others,,/strategy/follow_base/stop_water_distance,The program is not called; the water shutdown distance is fixed,,double,,,20,,
PNC motion control,PNC Others,,/strategy/goal_base/avoid_obstacle_stop_duration,The program is not called; obstacle avoidance waiting time (navigation),"During obstacle avoidance, the planning time exceeds this time and is considered to be a failure.",double,,,2,,
PNC motion control,PNC Others,,/strategy/goal_base/avoid_obstacle_stop_duration,The program is not called; obstacle avoidance waiting time (navigation),"During obstacle avoidance, the planning time exceeds this time and is considered to be a failure.",double,,,2,,
PNC motion control,PNC Others,,/strategy/goal_base/using_force_recovery,The program is not called;,Forced rotation can be configured when footprint is unsafe in navigation mode,bool,,,FALSE,,
PNC motion control,PNC Others,,/strategy/goal_base/using_force_recovery,The program is not called;,Forced rotation can be configured when footprint is unsafe in navigation mode,bool,,,FALSE,,
PNC motion control,PNC Others,,/strategy/move_base/max_abnormal_time,The program is not called,,double,,,,,
PNC motion control,PNC Others,,/strategy/pnc/gate_control/enable_efficiency_gate,Identify the positive corners,,bool,,,FALSE,,
PNC motion control,PNC Others,,/strategy/pnc/param_convert_version,"The default parameter ""no_version"" is executed and ""aio_1_2"" is used to avoid multiple conversions.",,string,,,"""aio_1_2""",,
PNC motion control,,,/strategy/chassis/enable_speed_filter,Smoothing speed,,bool,,,FALSE,,
PNC motion control,,,/strategy/chassis/low_angular_vel,Robot low-speed detection (angle),Used to distinguish between high and low speed modes of robots (angle),double,,,0.1,,
PNC motion control,,,/strategy/chassis/low_sum_angular_diff,The threshold value of the accumulation of low speed speed difference (angle),,double,,,4.2,,
PNC motion control,,,/strategy/chassis/low_sum_vel_diff,The threshold value of the accumulated low speed speed difference (speed),,double,,,2.2,,
PNC motion control,,,/strategy/chassis/low_vel,Robot low-speed detection (speed),Used to distinguish between high and low speed modes of robots (speed),double,,,0.05,,
PNC motion control,Navigation speed,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/apx3801uafhhlugd?singleDoc# ""Differences in AIO version and S-MTBF navigation speed""",/strategy/move_base/max_velocity_linear,Running speed - Navigation speed,,double,,,1,,
PNC motion control,Battery charging mos disconnect speed limit,"Function description: https://gaussian.yuque.com/vhfwq2/zc0zl8/iefcfr78npkgx6zn?singleDoc# ""Battery Charging MOS Disconnect Processing Logic""",/strategy/move_base/mos_off_max_vel,"When the charging MOS is disconnected, the maximum running speed of the robot",,double,0.1,1,0.3,,
PNC motion control,Battery charging mos disconnect speed limit,"Function description: https://gaussian.yuque.com/vhfwq2/zc0zl8/iefcfr78npkgx6zn?singleDoc# ""Battery Charging MOS Disconnect Processing Logic""",/strategy/move_base/open_mos_limp,NUll,,bool,,,TRUE,,
PNC motion control,Planning timeout,"Function description: In navigation mode, after entering the planning or control failure recovery mode, the timeout time will be accumulated. The timeout time is related to the task type. If the task is navigation, the parameter is goal_base:planner_error_patience_time. If it is obstacle avoidance or offroad in follow-up mode, the parameter is goal_base:follow_path_patience_time; the timeout time of failure to obtain the target point is controlled by goal_base:avoid_goal_obstacle_stop_duration. Time to force entry into Local Escape Recovery state goal_base:force_escape_patience_time",/strategy/goal_base/planner_error_patience_time,The program is not called; obstacle avoidance planning timeout time (task is navigation),,double,,,20,,
PNC motion control,Retreat function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/fs9zswtbtu8y6mn8?singleDoc# ""Introduction to the constraints of the backward escape switch""",/strategy/move_base/enable_backtracking_rec,Allow historical tracks to escape the gap switch,,bool,,,TRUE,,
PNC motion control,Retreat function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/fs9zswtbtu8y6mn8?singleDoc# ""Introduction to the constraints of the backward escape switch""",/strategy/move_base/enable_narrow_backward_recovery,Allow local narrow path to escape and backward switch,,bool,,,TRUE,,
PNC motion control,Retreat function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/fs9zswtbtu8y6mn8?singleDoc# ""Introduction to the constraints of the backward escape switch""",/strategy/move_base/enable_normal_backward_recovery,Allow ordinary local escape and backward switch,,bool,,,TRUE,,
PNC motion control,Retreat function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/fs9zswtbtu8y6mn8?singleDoc# ""Introduction to the constraints of the backward escape switch""",/strategy/move_base/enable_point_cloud_recovery,Allow point cloud escape switch,,bool,,,TRUE,,
PNC motion control,Retreat function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/fs9zswtbtu8y6mn8?singleDoc# ""Introduction to the constraints of the backward escape switch""",/strategy/move_base/forbid_all_backward_rec,All backward escape behavior switches are prohibited (including global escape),,bool,,,FALSE,,
PNC motion control,Path offset function,"Function description: https://gaussian.yuque.com/vhfwq2/mi5d16/ynlqxgq6d3m8t8ymhttps://gaussian.yuque.com/pnc/yu7uqr/aa4uqpg5or2vnw8a?singleDoc# ""Path Offset Function Description & Parameters""",/strategy/path_recorder/offset_path,Path offset interval distance,,double,0.06,0.2,0.1,,
PNC motion control,Path offset function,"Function description: https://gaussian.yuque.com/vhfwq2/mi5d16/ynlqxgq6d3m8t8ymhttps://gaussian.yuque.com/pnc/yu7uqr/aa4uqpg5or2vnw8a?singleDoc# ""Path Offset Function Description & Parameters""",/strategy/path_recorder/offset_switch,Path offset function switch,,bool,,,FALSE,,
PNC motion control,Road network function,ROBOTPLAN-3986,/strategy/path_recorder/one_lane_width,75 single lane same-way width threshold,,double,0,10,3,,
PNC motion control,Road network function,ROBOTPLAN-3986,/strategy/path_recorder/use_spiral_opt,75 Whether to use helical lines to optimize the coverage path curvature switch,,bool,,,,,
PNC motion control,绕大圈,"When the narrow path is blocked by an obstacle, the planned obstacle avoidance path may be detoured from a distance. In order to prohibit this phenomenon, the system will compare the length of the newly generated path and the original path (skipped part). If the length difference max_path_length_diff and ratio max_path_length_quotien exceed a certain range, the newly generated path needs to be discarded; if using_further_planner is opened, the newly generated path is used; Function description: https://gaussian.yuque.com/dyswnp/newbie/kye9ne?singleDoc# ""Move_base related configuration instructions""",/strategy/goal_base/max_path_length_diff,The program is not called; the maximum circle is determined to be poor,,double,,,15,,
PNC motion control,绕大圈,"When the narrow path is blocked by an obstacle, the planned obstacle avoidance path may be detoured from a distance. In order to prohibit this phenomenon, the system will compare the length of the newly generated path and the original path (skipped part). If the length difference max_path_length_diff and ratio max_path_length_quotien exceed a certain range, the newly generated path needs to be discarded; if using_further_planner is opened, the newly generated path is used; Function description: https://gaussian.yuque.com/dyswnp/newbie/kye9ne?singleDoc# ""Move_base related configuration instructions""",/strategy/goal_base/max_path_length_quotien,The program is not called; the maximum circle is determined by determining the ratio,,double,,,3,,
PNC motion control,绕大圈,"When the narrow path is blocked by an obstacle, the planned obstacle avoidance path may be detoured from a distance. In order to prohibit this phenomenon, the system will compare the length of the newly generated path and the original path (skipped part). If the length difference max_path_length_diff and ratio max_path_length_quotien exceed a certain range, the newly generated path needs to be discarded; if using_further_planner is opened, the newly generated path is used; Function description: https://gaussian.yuque.com/dyswnp/newbie/kye9ne?singleDoc# ""Move_base related configuration instructions""",/strategy/goal_base/path_safe_stopping_distance,The program is not called; path safety checks the speed reduction distance,,double,,,1,,
PNC motion control,绕大圈,"When the narrow path is blocked by an obstacle, the planned obstacle avoidance path may be detoured from a distance. In order to prohibit this phenomenon, the system will compare the length of the newly generated path and the original path (skipped part). If the length difference max_path_length_diff and ratio max_path_length_quotien exceed a certain range, the newly generated path needs to be discarded; if using_further_planner is opened, the newly generated path is used; Function description: https://gaussian.yuque.com/dyswnp/newbie/kye9ne?singleDoc# ""Move_base related configuration instructions""",/strategy/goal_base/using_further_planner,The program is not called; large circles are allowed after timeout,,bool,,,TRUE,,
PNC motion control,绕大圈,"When the narrow path is blocked by an obstacle, the planned obstacle avoidance path may be detoured from a distance. In order to prohibit this phenomenon, the system will compare the length of the newly generated path and the original path (skipped part). If the length difference max_path_length_diff and ratio max_path_length_quotien exceed a certain range, the newly generated path needs to be discarded; if using_further_planner is opened, the newly generated path is used; Function description: https://gaussian.yuque.com/dyswnp/newbie/kye9ne?singleDoc# ""Move_base related configuration instructions""",/strategy/goal_base/using_further_planner,The program is not called; large circles are allowed after timeout,,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/enable_detect_ex_corner,Identify the positive corner function switch,,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/enable_detect_in_corner,Identify the corner function switch,,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/enable_follow_edge,Wear master switch,,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/enable_follow_virtual_wall_lines,Edge virtual wall function switch,,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/follow_edge_min_safe_distance,Minimum distance for sticking,,double,0,0.05,0,,
