﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
Voice configuration,,,/device/scrubber/rear_device_type,Rear device type,"0: Dust push, 1: Water squeezing",int,,,1,,
Wireless communication category,WIFI,Function description: The robot's lower computer or upper computer is installed with a wifi module. This parameter can determine whether to enable upper computer WIFI or lower computer WIFI;,/device/network/disable_upper_wifi_module,Do not enable the upper computer WIFI switch,Open: Do not enable upper computer WIFI; Close: enable upper computer WIFI;,bool,,,FALSE,,
Wireless communication category,WIFI,,/device/network/max_hardreset_cnt,NUll,,int,0,1000,24,,
Wireless communication category,4G,,/device/network/mobile_switch,4G networking function switch,Mobile network switch,bool,,,TRUE,,
Wireless communication category,WIFI,,/device/network/reset_apn_for_kpn_on,NUll,,bool,,,FALSE,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_interval,Wifi list update frequency,Wifi list update frequency,int,1,1000,50,,
Wireless communication category,WIFI,,/device/network/wifi_switch,WIFI networking function switch,Wifi network switch,bool,,,FALSE,,
Wireless communication category,4G,,/device/network/always_5g,Keep 5g display,Keep 5g display,bool,,,FALSE,,
Wireless communication category,WIFI,,/device/network/speed_monitor_interval,NUll,,int,,,600,,
Wireless communication category,WIFI,,/device/network/speed_sample_item_cnt,NUll,,int,,,60,,
Wireless communication category,WIFI,,/device/network/speed_sample_total_kbytes,NUll,,int,,,3072,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_fast_http_interval,NUll,,int,1,1000,3,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_fast_interval,NUll,,int,1,1000,6,,
梯控,,,/strategy/console/elevator_behavior_mode,"Based on this parameter, the robot determines whether it is optimized according to the original ladder control process or supports waiting timeout processing strategy.",0: Default escalation process 1: Supports optimization of waiting timeout processing strategy,int,,,1,,
梯控,Call time interval,"Note: You cannot set these parameters too short. If the settings are too short, it will cause the effect of continuous buttons, resulting in cancellation of the buttons on the corresponding floor, and calling the elevator again, the elevator door will open again; (Repeat will cause the elevator door to be unable to close;)",/strategy/elevator_controller/elevator_communication_interval,"Call time interval, calculation method is (n+1)*500 milliseconds",,int,1,2000,3,,
梯控,梯控,,/strategy/elevator_controller/elevator_strategy,Added new policy robust,"String The policies are positive, balance, negative, and robust",string,,,"""balance""",,
梯控,梯控,,/strategy/elevator_controller/take_elevator_retry_times,"The number of retry times for ladder control, unit times, except for the number of other retry times for ladder entering and exiting",,int,0,864000,5,,
梯控,Ladder control-ladder,,/strategy/elevator_controller/take_elevator_timeout,Timeout time for stairs,,int,0,864000,1200,,
梯控,Ladder control-outlet,,/strategy/elevator_base/cut_off_dis,The distance from the end point of the ladder path to the ladder point,,double,,,1.5,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_parking_dis,Distance of stopping the ladder,,double,,,0.1,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_timeout,Time out of ladder,"That is, after this time comes, you will give up the stairs and return to the stairs;",double,,,60,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_waiting_time,Continuous parking timeout for exiting the ladder,"That is, if you continue to stop and exceed the time, you will give up the ladder and return to the ladder;",double,,,45,,
梯控,Ladder control-outlet,,/strategy/elevator_controller/retry_out_elevator_num,Retry the number of times,,int,0,864000,3,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/close_door_timeout,Timeout time for closing elevator door,,int,0,864000,300,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/close_door_timeout_while_retry,Have been deprecated,,int,,,10,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/send_close_door,Send a closing command,"1: means sending, 0: means not sending",int,,,1,,
梯控,Ladder control-waiting ladder,,/strategy/elevator_base/waiting_zone_dis_to_entry,The best waiting position distance from the entry point,"(The elevator waiting pose displayed on the map) has a backward movement distance (default 0.5). In some sites, if the waiting position needs to be away from the stairs, this parameter can be increased;",double,,,0.5,,
梯控,Ladder control-waiting ladder,,/strategy/elevator_controller/waiting_elevator_timeout,Waiting ladder timeout,,int,0,864000,300,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/control_elevator_way,Call control strategy,"1: The robot calls the elevator at any time, and the elevator reaches the priority ladder 2: The robot calls the elevator at any time, and the elevator direction is the same as the robot direction before entering the ladder",int,,,1,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/elevator_floor_duration,"During the call process, if the elevator has not moved for a long time, an alarm will be reported.",,int,0,864000,120,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/order_switch_seconds,"In 4G+Lora mode, if no reservation is successful after this time, switch to lora",,int,30,300,60,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/order_waiting_timeout,Reservation timeout,,int,0,864000,300,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/wait_timeout_times_avoidance,How many times have passed? Go to the avoidance point,"Default 3, range 1-6",int,1,6,3,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_parking_dis,Stallion distance,,double,,,0.1,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_parking_in_place_time,Retry planning time for ladders,"After the first time the elevator fails to move back out of the elevator, the time to allow parking to plan the elevator path in place, that is, the maximum time to continue to try to plan the elevator during that time;",double,,,3,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_stuck_time,Continuous parking timeout for ladder entry,"That is, if you continue to stop and exceed the time, you will give up the stairs and retreat to the backing point. If it is the first attempt to enter the stairs, you will try to enter the stairs again after returning to the outside of the stairs;",double,,,2,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_timeout,Ladder timeout,"That is, after this time comes, you will give up entering the ladder and return to the outside of the ladder;",double,,,30,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_waiting_time,"This parameter is invalid after Hanting version 3.2, don't worry",,double,,,10,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/quit_in_waiting_time,Give up the ladder entry (return outside the ladder) continuous parking timeout time,"That is, when you encounter an obstacle while retreating, you will give up the action of going back out of the ladder after stopping continuously for this time.",double,,,5,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/rotation_radius,The distance to go around after failure to enter the ladder,"Specifically calculated as an arc with the stepping point as the center of the circle, the above parameters are the arc radius;",double,,,0.65,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/try_get_in_limit_times,Number of attempts to enter the elevator after opening the single elevator door,,int,,,2,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/limit_times_enter_failed,"If the number of times the ladder fails, the alarm will be reported once",,int,0,864000,3,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/retry_enter_elevator_num,Number of retry attempts at the ladder,,int,0,864000,99,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/waiting_status_time,Failure to go into the ladder for a long time,,int,0,864000,90,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_entry_pose_node/entry_pose_distance,NUll,,double,,,2.5,,
梯控,Ladder control-in/outlet ladder,,/strategy/elevator_base/take_elevator_velocity,Maximum speed for entering and exiting the ladder,"If the ladder is frequently stuck, it can be changed to a larger size. It is recommended not to exceed 0.6, as it will increase the risk of collision;",double,0.2,1,0.4,,
梯控,Ladder control-open door,,/strategy/elevator_controller/open_door_timeout,Open elevator door timeout time,,int,0,864000,300,,
梯控,Ladder control-open door,,/strategy/elevator_controller/wait_for_getin_seconds,"Waiting time for waiting for the door opening signal, unit to seconds",,int,1,60,14,,
梯控,Ladder control-open/close door,,/strategy/elevator_controller/operate_door_interval,The gate time interval is calculated as (n+1)*500 milliseconds,,int,1,120,3,,
梯控,Ladder control-open/close door,,/strategy/elevator_controller/wait_door_opened_seconds,"Under the aggressive ladder/outlet strategy, the door status will not be checked, so there will be a slight pause time, unit seconds",,int,0,5,1,,
Manual mode,Manual mode acceleration and decreasing speed,,/device/mcu/backward_dec,"Back-deceleration speed in manual mode, 1..500",,int,0,500,,,
Manual mode,Manual mode acceleration and decreasing speed,,/device/mcu/forward_dec,"Forward deceleration in manual mode, 1..500",,int,0,500,500,,
Manual mode,Power handle function,https://gaussian.yuque.com/huofeng-private-group-1780/cowork/ddrbvq,/labor_saving/environment,Ground environment,,string,,,"""normal""",,
Manual mode,Power-assist function switch (software),,/strategy/chassis/enable_labor_saving,Enable Assist Mode Function (Software),Assist mode switch,bool,,,FALSE,,
Equipment life,Rolling brush life test,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/ec807m?singleDoc# ""S-line-rolling brush type, life, in-place detection requirements""",/device/scrubber/front_rolling_brush_usage_alert,Front rolling brush service life,,int,0,1000000,300,,
Equipment life,Rolling brush life test,,/device/scrubber/rear_rolling_brush_usage_alert,Rear rolling brush service life,,int,0,1000000,300,,
Equipment life,Lifetime of brush disk,,/device/scrubber/brush_usage_alert,Lifetime of brush disk,Lifetime of brush disk,int,0,1000000,300,,
Equipment life,Equipment life,,/device/scrubber/dust_push_usage_alert,Dust push cloth service life,Dust push cloth service life,double,0,3600,20,,
Equipment life,Filter service life,,/device/scrubber/filter_usage_alert,Filter service life,Filter service life,int,0,1000000,20,,
Equipment life,Equipment life,,/device/scrubber/ordinary_dust_push_usage_alert,Service life of ordinary dust push,Service life of ordinary dust push,double,0,3600,20,,
Equipment life,Equipment life,,/device/scrubber/rolling_brush_usage_alert,Rolling brush service life,Rolling brush service life,int,0,1000000,300,,
Equipment life,Equipment life,,/device/track_motor/mileage_alert,No longer used,,int,0,1000000,,,
Equipment control-Aromatic,,,/device/scrubber/aromatherapy_concentration_level_setting,Aromatherapy concentration configuration time (spray time & dissipation time),Aromatherapy concentration configuration (unit: seconds),string,,,"""40,20,45,10,60,10""",,
Equipment control-squeezing lift motor,Equipment control-rear lift suction squeegee,,/device/scrubber/backward_half_uplift_squeegee,Rear lift squeegee function switch,,bool,,,TRUE,,
Equipment control-squeezing lift motor,Equipment control-rear lift suction squeegee,,/device/scrubber/backward_liftup_device_speed,Trigger the backing speed of lifting equipment,Trigger the backing speed of lifting equipment,double,0,10000,0.1,,
Equipment control-squeezing lift motor,Lifting time control of squeegee lifting motor,,/device/scrubber/squeegee_down_time,Time for squeegee,"The time required to place the squeegee in place, unit: seconds",double,0,3600,0,,
Equipment control-squeezing lift motor,Lifting time control of squeegee lifting motor,,/device/scrubber/squeegee_up_half_time,Half-lifting time for squeegee,,int,0,10000,4000,,
Equipment control-squeezing lift motor,Squeegee lift motor enable,,/device/scrubber/enable_squeegee_lift_motor,Enable water jet motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-water squeezing,,,/device/scrubber/enable_squeegee_down_check,Enable squeegee monitoring,,bool,,,FALSE,,
Equipment control-water squeezing,Squeegee monitoring,,/device/scrubber/squeegee_down_check_continuous_time,"Squeegee monitoring, continuous comparison time, unit: seconds",,double,1,5,2,,
Equipment control-water squeezing,Squeegee monitoring,,/device/scrubber/squeegee_down_check_wait_device_time,"When monitoring squeegee, you need to wait for equipment time, unit: seconds",,double,2,10,3,,
Equipment control-wind suction motor,,,/device/scrubber/enable_squeegee_motor,Enable air suction motor,Air suction switch,bool,,,TRUE,,
Equipment control-wind suction motor,,,/device/scrubber/fan_level,Air suction level,0,int,0,100,1,,
Equipment control-wind suction motor,,,/device/scrubber/fan_level_setting,Air suction level setting,Air suction level setting,string,,,"""40,60,100""",,
Equipment control-wind suction motor,,,/device/scrubber/squeegee_motor_running_time,Suction air is fully turned on time,"The maximum time required for the air suction to be turned on, unit: seconds",double,0,3600,0,,
Equipment Control-Atomizer,,,/device/scrubber/enable_mist_spray,Spray switch,Enable spray,bool,,,FALSE,,
Equipment control-Stop washing in advance,,,/strategy/follow_base/max_stop_water_distance,Maximum water shutdown distance,,double,,,,,
Equipment control-Stop washing in advance,,,/strategy/follow_base/min_stop_water_distance,Minimum water shutdown distance,,double,,,,,
Equipment control-Brushing plate lift motor,,,/device/mcu/brush_down_type,Brushing plate lifting motor type,"0: Non-Hall Motor, 1: Hall Motor",int,0,1,1,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_current_threshold,Brushing disc motor reduce current threshold,,double,0,20,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_full_time,Time to fully drop the brushing motor,,int,0,20000,5000,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_half_time,Time to take for the brushing motor to drop halfway,,int,0,10000,2500,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_level_setting,The push rod motor has low stroke. Unit: mm,,int,0,100,40,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_pwm,Reduce power by brushing disk,,int,0,100,0,,
