﻿分类,功能,功能说明,参数名称,参数中文名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
Wireless communication category,WIFI,,/device/network/recovery_usb_outer_wifi_on,NUll,,bool,,,TRUE,,
Wireless communication category,WIFI,,/device/network/reset_apn_for_kpn_on,NUll,,bool,,,FALSE,,
Wireless communication category,WIFI,,/device/network/speed_monitor_interval,NUll,,int,,,600,,
Wireless communication category,WIFI,,/device/network/speed_sample_item_cnt,NUll,,int,,,60,,
Wireless communication category,WIFI,,/device/network/speed_sample_total_kbytes,NUll,,int,,,3072,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_fast_http_interval,NUll,,int,1,1000,3,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_fast_interval,NUll,,int,1,1000,6,,
Wireless communication category,WIFI,,/device/network/wifi_search_ap_list_interval,Wifi list update frequency,Wifi list update frequency,int,1,1000,50,,
Wireless communication category,WIFI,,/device/network/wifi_switch,WIFI networking function switch,Wifi network switch,bool,,,TRUE,,
Wireless communication category,WFI,,/device/network/ping_host,Network detection destination address,Network detection destination address,string,,,"""8.8.8.8""",,
Wireless communication category,4G,,/device/network/mobile_switch,4G networking function switch,Mobile network switch,bool,,,TRUE,,
梯控,Ladder control-open/close door,,/strategy/elevator_controller/operate_door_interval,The gate time interval is calculated as (n+1)*500 milliseconds,,int,1,120,3,,
梯控,Ladder control-open/close door,,/strategy/elevator_controller/wait_door_opened_seconds,"Under the aggressive ladder/outlet strategy, the door status will not be checked, so there will be a slight pause time, unit seconds",,int,0,5,1,,
梯控,Ladder control-open door,,/strategy/elevator_controller/open_door_timeout,Open elevator door timeout time,,int,0,864000,300,,
梯控,Ladder control-open door,,/strategy/elevator_controller/wait_for_getin_seconds,"Waiting time for waiting for the door opening signal, unit to seconds",,int,1,60,14,,
梯控,Ladder control-in/outlet ladder,,/strategy/elevator_base/take_elevator_velocity,Maximum speed for entering and exiting the ladder,"If the ladder is frequently stuck, it can be changed to a larger size. It is recommended not to exceed 0.6, as it will increase the risk of collision;",double,0.2,1,0.4,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_parking_dis,Stallion distance,,double,,,0.1,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_parking_in_place_time,Retry planning time for ladders,"After the first time the elevator fails to move back out of the elevator, the time to allow parking to plan the elevator path in place, that is, the maximum time to continue to try to plan the elevator during that time;",double,,,3,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_stuck_time,Continuous parking timeout for ladder entry,"That is, if you continue to stop and exceed the time, you will give up the stairs and retreat to the backing point. If it is the first attempt to enter the stairs, you will try to enter the stairs again after returning to the outside of the stairs;",double,,,2,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_timeout,Ladder timeout,"That is, after this time comes, you will give up entering the ladder and return to the outside of the ladder;",double,,,30,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/get_in_waiting_time,"This parameter is invalid after Hanting version 3.2, don't worry",,double,,,10,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/quit_in_waiting_time,Give up the ladder entry (return outside the ladder) continuous parking timeout time,"That is, when you encounter an obstacle while retreating, you will give up the action of going back out of the ladder after stopping continuously for this time.",double,,,5,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/rotation_radius,The distance to go around after failure to enter the ladder,"Specifically calculated as an arc with the stepping point as the center of the circle, the above parameters are the arc radius;",double,,,0.5,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_base/try_get_in_limit_times,Number of attempts to enter the elevator after opening the single elevator door,,int,,,,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/limit_times_enter_failed,"If the number of times the ladder fails, the alarm will be reported once",,int,0,864000,3,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/retry_enter_elevator_num,Number of retry attempts at the ladder,,int,0,864000,99,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_controller/waiting_status_time,Failure to go into the ladder for a long time,,int,0,864000,90,,
梯控,Ladder control-Entering ladder,,/strategy/elevator_entry_pose_node/entry_pose_distance,NUll,,double,,,2.5,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/control_elevator_way,Call control strategy,"1: The robot calls the elevator at any time, and the elevator reaches the priority ladder 2: The robot calls the elevator at any time, and the elevator direction is the same as the robot direction before entering the ladder",int,,,1,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/elevator_floor_duration,"During the call process, if the elevator has not moved for a long time, an alarm will be reported.",,int,0,864000,120,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/order_switch_seconds,"In 4G+Lora mode, if no reservation is successful after this time, switch to lora",,int,30,300,60,,
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/order_waiting_timeout,Reservation timeout,,int,0,864000,300,,
